INSERT INTO ALIMENT (REFERENCIA, NOM, PREU) VALUES
('NIF781', 'Proveedor781'),
('NIF782', 'Proveedor782'),
('NIF783', 'Proveedor783'),
('NIF784', 'Proveedor784'),
('NIF785', 'Proveedor785'),
('NIF786', 'Proveedor786'),
('NIF787', 'Proveedor787'),
('NIF788', 'Proveedor788'),
('NIF789', 'Proveedor789'),
('NIF790', 'Proveedor790'),
('NIF791', 'Proveedor791'),
('NIF792', 'Proveedor792'),
('NIF793', 'Proveedor793'),
('NIF794', 'Proveedor794'),
('NIF795', 'Proveedor795'),
('NIF796', 'Proveedor796'),
('NIF797', 'Proveedor797'),
('NIF798', 'Proveedor798'),
('NIF799', 'Proveedor799'),
('NIF800', 'Proveedor800'),
('NIF801', 'Proveedor801'),
('NIF802', 'Proveedor802'),
('NIF803', 'Proveedor803'),
('NIF804', 'Proveedor804'),
('NIF805', 'Proveedor805'),
('NIF806', 'Proveedor806'),
('NIF807', 'Proveedor807'),
('NIF808', 'Proveedor808'),
('NIF809', 'Proveedor809'),
('NIF810', 'Proveedor810'),
('NIF811', 'Proveedor811'),
('NIF812', 'Proveedor812'),
('NIF813', 'Proveedor813'),
('NIF814', 'Proveedor814'),
('NIF815', 'Proveedor815'),
('NIF816', 'Proveedor816'),
('NIF817', 'Proveedor817'),
('NIF818', 'Proveedor818'),
('NIF819', 'Proveedor819'),
('NIF820', 'Proveedor820'),
('NIF821', 'Proveedor821'),
('NIF822', 'Proveedor822'),
('NIF823', 'Proveedor823'),
('NIF824', 'Proveedor824'),
('NIF825', 'Proveedor825'),
('NIF826', 'Proveedor826'),
('NIF827', 'Proveedor827'),
('NIF828', 'Proveedor828'),
('NIF829', 'Proveedor829'),
('NIF830', 'Proveedor830'),
('NIF831', 'Proveedor831'),
('NIF832', 'Proveedor832'),
('NIF833', 'Proveedor833'),
('NIF834', 'Proveedor834'),
('NIF835', 'Proveedor835'),
('NIF836', 'Proveedor836'),
('NIF837', 'Proveedor837'),
('NIF838', 'Proveedor838'),
('NIF839', 'Proveedor839'),
('NIF840', 'Proveedor840'),
('NIF841', 'Proveedor841'),
('NIF842', 'Proveedor842'),
('NIF843', 'Proveedor843'),
('NIF844', 'Proveedor844'),
('NIF845', 'Proveedor845'),
('NIF846', 'Proveedor846'),
('NIF847', 'Proveedor847'),
('NIF848', 'Proveedor848'),
('NIF849', 'Proveedor849'),
('NIF850', 'Proveedor850'),
('NIF851', 'Proveedor851'),
('NIF852', 'Proveedor852'),
('NIF853', 'Proveedor853'),
('NIF854', 'Proveedor854'),
('NIF855', 'Proveedor855'),
('NIF856', 'Proveedor856'),
('NIF857', 'Proveedor857'),
('NIF858', 'Proveedor858'),
('NIF859', 'Proveedor859'),
('NIF860', 'Proveedor860'),
('NIF861', 'Proveedor861'),
('NIF862', 'Proveedor862'),
('NIF863', 'Proveedor863'),
('NIF864', 'Proveedor864'),
('NIF865', 'Proveedor865'),
('NIF866', 'Proveedor866'),
('NIF867', 'Proveedor867'),
('NIF868', 'Proveedor868'),
('NIF869', 'Proveedor869'),
('NIF870', 'Proveedor870'),
('NIF871', 'Proveedor871'),
('NIF872', 'Proveedor872'),
('NIF873', 'Proveedor873'),
('NIF874', 'Proveedor874'),
('NIF875', 'Proveedor875'),
('NIF876', 'Proveedor876'),
('NIF877', 'Proveedor877'),
('NIF878', 'Proveedor878'),
('NIF879', 'Proveedor879'),
('NIF880', 'Proveedor880'),
('NIF881', 'Proveedor881'),
('NIF882', 'Proveedor882'),
('NIF883', 'Proveedor883'),
('NIF884', 'Proveedor884'),
('NIF885', 'Proveedor885'),
('NIF886', 'Proveedor886'),
('NIF887', 'Proveedor887'),
('NIF888', 'Proveedor888'),
('NIF889', 'Proveedor889'),
('NIF890', 'Proveedor890'),
('NIF891', 'Proveedor891'),
('NIF892', 'Proveedor892'),
('NIF893', 'Proveedor893'),
('NIF894', 'Proveedor894'),
('NIF895', 'Proveedor895'),
('NIF896', 'Proveedor896'),
('NIF897', 'Proveedor897'),
('NIF898', 'Proveedor898'),
('NIF899', 'Proveedor899'),
('NIF900', 'Proveedor900'),
('NIF901', 'Proveedor901'),
('NIF902', 'Proveedor902'),
('NIF903', 'Proveedor903'),
('NIF904', 'Proveedor904'),
('NIF905', 'Proveedor905'),
('NIF906', 'Proveedor906'),
('NIF907', 'Proveedor907'),
('NIF908', 'Proveedor908'),
('NIF909', 'Proveedor909'),
('NIF910', 'Proveedor910'),
('NIF911', 'Proveedor911'),
('NIF912', 'Proveedor912'),
('NIF913', 'Proveedor913'),
('NIF914', 'Proveedor914'),
('NIF915', 'Proveedor915'),
('NIF916', 'Proveedor916'),
('NIF917', 'Proveedor917'),
('NIF918', 'Proveedor918'),
('NIF919', 'Proveedor919'),
('NIF920', 'Proveedor920'),
('NIF921', 'Proveedor921'),
('NIF922', 'Proveedor922'),
('NIF923', 'Proveedor923'),
('NIF924', 'Proveedor924'),
('NIF925', 'Proveedor925'),
('NIF926', 'Proveedor926'),
('NIF927', 'Proveedor927'),
('NIF928', 'Proveedor928'),
('NIF929', 'Proveedor929'),
('NIF930', 'Proveedor930'),
('NIF931', 'Proveedor931'),
('NIF932', 'Proveedor932'),
('NIF933', 'Proveedor933'),
('NIF934', 'Proveedor934'),
('NIF935', 'Proveedor935'),
('NIF936', 'Proveedor936'),
('NIF937', 'Proveedor937'),
('NIF938', 'Proveedor938'),
('NIF939', 'Proveedor939'),
('NIF940', 'Proveedor940'),
('NIF941', 'Proveedor941'),
('NIF942', 'Proveedor942'),
('NIF943', 'Proveedor943'),
('NIF944', 'Proveedor944'),
('NIF945', 'Proveedor945'),
('NIF946', 'Proveedor946'),
('NIF947', 'Proveedor947'),
('NIF948', 'Proveedor948'),
('NIF949', 'Proveedor949'),
('NIF950', 'Proveedor950'),
('NIF951', 'Proveedor951'),
('NIF952', 'Proveedor952'),
('NIF953', 'Proveedor953'),
('NIF954', 'Proveedor954'),
('NIF955', 'Proveedor955'),
('NIF956', 'Proveedor956'),
('NIF957', 'Proveedor957'),
('NIF958', 'Proveedor958'),
('NIF959', 'Proveedor959'),
('NIF960', 'Proveedor960'),
('NIF961', 'Proveedor961'),
('NIF962', 'Proveedor962'),
('NIF963', 'Proveedor963'),
('NIF964', 'Proveedor964'),
('NIF965', 'Proveedor965'),
('NIF966', 'Proveedor966'),
('NIF967', 'Proveedor967'),
('NIF968', 'Proveedor968'),
('NIF969', 'Proveedor969'),
('NIF970', 'Proveedor970'),
('NIF971', 'Proveedor971'),
('NIF972', 'Proveedor972'),
('NIF973', 'Proveedor973'),
('NIF974', 'Proveedor974'),
('NIF975', 'Proveedor975'),
('NIF976', 'Proveedor976'),
('NIF977', 'Proveedor977'),
('NIF978', 'Proveedor978'),
('NIF979', 'Proveedor979'),
('NIF980', 'Proveedor980'),
('NIF981', 'Proveedor981'),
('NIF982', 'Proveedor982'),
('NIF983', 'Proveedor983'),
('NIF984', 'Proveedor984'),
('NIF985', 'Proveedor985'),
('NIF986', 'Proveedor986'),
('NIF987', 'Proveedor987'),
('NIF988', 'Proveedor988'),
('NIF989', 'Proveedor989'),
('NIF990', 'Proveedor990'),
('NIF991', 'Proveedor991'),
('NIF992', 'Proveedor992'),
('NIF993', 'Proveedor993'),
('NIF994', 'Proveedor994'),
('NIF995', 'Proveedor995'),
('NIF996', 'Proveedor996'),
('NIF997', 'Proveedor997'),
('NIF998', 'Proveedor998'),
('NIF999', 'Proveedor999'),
('NIF1000', 'Proveedor1000'),
('NIF1001', 'Proveedor1001'),
('NIF1002', 'Proveedor1002'),
('NIF1003', 'Proveedor1003'),
('NIF1004', 'Proveedor1004'),
('NIF1005', 'Proveedor1005'),
('NIF1006', 'Proveedor1006'),
('NIF1007', 'Proveedor1007'),
('NIF1008', 'Proveedor1008'),
('NIF1009', 'Proveedor1009'),
('NIF1010', 'Proveedor1010'),
('NIF1011', 'Proveedor1011'),
('NIF1012', 'Proveedor1012'),
('NIF1013', 'Proveedor1013'),
('NIF1014', 'Proveedor1014'),
('NIF1015', 'Proveedor1015'),
('NIF1016', 'Proveedor1016'),
('NIF1017', 'Proveedor1017'),
('NIF1018', 'Proveedor1018'),
('NIF1019', 'Proveedor1019'),
('NIF1020', 'Proveedor1020'),
('NIF1021', 'Proveedor1021'),
('NIF1022', 'Proveedor1022'),
('NIF1023', 'Proveedor1023'),
('NIF1024', 'Proveedor1024'),
('NIF1025', 'Proveedor1025'),
('NIF1026', 'Proveedor1026'),
('NIF1027', 'Proveedor1027'),
('NIF1028', 'Proveedor1028'),
('NIF1029', 'Proveedor1029'),
('NIF1030', 'Proveedor1030'),
('NIF1031', 'Proveedor1031'),
('NIF1032', 'Proveedor1032'),
('NIF1033', 'Proveedor1033'),
('NIF1034', 'Proveedor1034'),
('NIF1035', 'Proveedor1035'),
('NIF1036', 'Proveedor1036'),
('NIF1037', 'Proveedor1037'),
('NIF1038', 'Proveedor1038'),
('NIF1039', 'Proveedor1039'),
('NIF1040', 'Proveedor1040'),
('NIF1041', 'Proveedor1041'),
('NIF1042', 'Proveedor1042'),
('NIF1043', 'Proveedor1043'),
('NIF1044', 'Proveedor1044'),
('NIF1045', 'Proveedor1045'),
('NIF1046', 'Proveedor1046'),
('NIF1047', 'Proveedor1047'),
('NIF1048', 'Proveedor1048'),
('NIF1049', 'Proveedor1049'),
('NIF1050', 'Proveedor1050'),
('NIF1051', 'Proveedor1051'),
('NIF1052', 'Proveedor1052'),
('NIF1053', 'Proveedor1053'),
('NIF1054', 'Proveedor1054'),
('NIF1055', 'Proveedor1055'),
('NIF1056', 'Proveedor1056'),
('NIF1057', 'Proveedor1057'),
('NIF1058', 'Proveedor1058'),
('NIF1059', 'Proveedor1059'),
('NIF1060', 'Proveedor1060'),
('NIF1061', 'Proveedor1061'),
('NIF1062', 'Proveedor1062'),
('NIF1063', 'Proveedor1063'),
('NIF1064', 'Proveedor1064'),
('NIF1065', 'Proveedor1065'),
('NIF1066', 'Proveedor1066'),
('NIF1067', 'Proveedor1067'),
('NIF1068', 'Proveedor1068'),
('NIF1069', 'Proveedor1069'),
('NIF1070', 'Proveedor1070'),
('NIF1071', 'Proveedor1071'),
('NIF1072', 'Proveedor1072'),
('NIF1073', 'Proveedor1073'),
('NIF1074', 'Proveedor1074'),
('NIF1075', 'Proveedor1075'),
('NIF1076', 'Proveedor1076'),
('NIF1077', 'Proveedor1077'),
('NIF1078', 'Proveedor1078'),
('NIF1079', 'Proveedor1079'),
('NIF1080', 'Proveedor1080'),
('NIF1081', 'Proveedor1081'),
('NIF1082', 'Proveedor1082'),
('NIF1083', 'Proveedor1083'),
('NIF1084', 'Proveedor1084'),
('NIF1085', 'Proveedor1085'),
('NIF1086', 'Proveedor1086'),
('NIF1087', 'Proveedor1087'),
('NIF1088', 'Proveedor1088'),
('NIF1089', 'Proveedor1089'),
('NIF1090', 'Proveedor1090'),
('NIF1091', 'Proveedor1091'),
('NIF1092', 'Proveedor1092'),
('NIF1093', 'Proveedor1093'),
('NIF1094', 'Proveedor1094'),
('NIF1095', 'Proveedor1095'),
('NIF1096', 'Proveedor1096'),
('NIF1097', 'Proveedor1097'),
('NIF1098', 'Proveedor1098'),
('NIF1099', 'Proveedor1099'),
('NIF1100', 'Proveedor1100'),
('NIF1101', 'Proveedor1101'),
('NIF1102', 'Proveedor1102'),
('NIF1103', 'Proveedor1103'),
('NIF1104', 'Proveedor1104'),
('NIF1105', 'Proveedor1105'),
('NIF1106', 'Proveedor1106'),
('NIF1107', 'Proveedor1107'),
('NIF1108', 'Proveedor1108'),
('NIF1109', 'Proveedor1109'),
('NIF1110', 'Proveedor1110'),
('NIF1111', 'Proveedor1111'),
('NIF1112', 'Proveedor1112'),
('NIF1113', 'Proveedor1113'),
('NIF1114', 'Proveedor1114'),
('NIF1115', 'Proveedor1115'),
('NIF1116', 'Proveedor1116'),
('NIF1117', 'Proveedor1117'),
('NIF1118', 'Proveedor1118'),
('NIF1119', 'Proveedor1119'),
('NIF1120', 'Proveedor1120'),
('NIF1121', 'Proveedor1121'),
('NIF1122', 'Proveedor1122'),
('NIF1123', 'Proveedor1123'),
('NIF1124', 'Proveedor1124'),
('NIF1125', 'Proveedor1125'),
('NIF1126', 'Proveedor1126'),
('NIF1127', 'Proveedor1127'),
('NIF1128', 'Proveedor1128'),
('NIF1129', 'Proveedor1129'),
('NIF1130', 'Proveedor1130'),
('NIF1131', 'Proveedor1131'),
('NIF1132', 'Proveedor1132'),
('NIF1133', 'Proveedor1133'),
('NIF1134', 'Proveedor1134'),
('NIF1135', 'Proveedor1135'),
('NIF1136', 'Proveedor1136'),
('NIF1137', 'Proveedor1137'),
('NIF1138', 'Proveedor1138'),
('NIF1139', 'Proveedor1139'),
('NIF1140', 'Proveedor1140'),
('NIF1141', 'Proveedor1141'),
('NIF1142', 'Proveedor1142'),
('NIF1143', 'Proveedor1143'),
('NIF1144', 'Proveedor1144'),
('NIF1145', 'Proveedor1145'),
('NIF1146', 'Proveedor1146'),
('NIF1147', 'Proveedor1147'),
('NIF1148', 'Proveedor1148'),
('NIF1149', 'Proveedor1149'),
('NIF1150', 'Proveedor1150'),
('NIF1151', 'Proveedor1151'),
('NIF1152', 'Proveedor1152'),
('NIF1153', 'Proveedor1153'),
('NIF1154', 'Proveedor1154'),
('NIF1155', 'Proveedor1155'),
('NIF1156', 'Proveedor1156'),
('NIF1157', 'Proveedor1157'),
('NIF1158', 'Proveedor1158'),
('NIF1159', 'Proveedor1159'),
('NIF1160', 'Proveedor1160'),
('NIF1161', 'Proveedor1161'),
('NIF1162', 'Proveedor1162'),
('NIF1163', 'Proveedor1163'),
('NIF1164', 'Proveedor1164'),
('NIF1165', 'Proveedor1165'),
('NIF1166', 'Proveedor1166'),
('NIF1167', 'Proveedor1167'),
('NIF1168', 'Proveedor1168'),
('NIF1169', 'Proveedor1169'),
('NIF1170', 'Proveedor1170'),
('NIF1171', 'Proveedor1171'),
('NIF1172', 'Proveedor1172'),
('NIF1173', 'Proveedor1173'),
('NIF1174', 'Proveedor1174'),
('NIF1175', 'Proveedor1175'),
('NIF1176', 'Proveedor1176'),
('NIF1177', 'Proveedor1177'),
('NIF1178', 'Proveedor1178'),
('NIF1179', 'Proveedor1179'),
('NIF1180', 'Proveedor1180'),
('NIF1181', 'Proveedor1181'),
('NIF1182', 'Proveedor1182'),
('NIF1183', 'Proveedor1183'),
('NIF1184', 'Proveedor1184'),
('NIF1185', 'Proveedor1185'),
('NIF1186', 'Proveedor1186'),
('NIF1187', 'Proveedor1187'),
('NIF1188', 'Proveedor1188'),
('NIF1189', 'Proveedor1189'),
('NIF1190', 'Proveedor1190'),
('NIF1191', 'Proveedor1191'),
('NIF1192', 'Proveedor1192'),
('NIF1193', 'Proveedor1193'),
('NIF1194', 'Proveedor1194'),
('NIF1195', 'Proveedor1195'),
('NIF1196', 'Proveedor1196'),
('NIF1197', 'Proveedor1197'),
('NIF1198', 'Proveedor1198'),
('NIF1199', 'Proveedor1199'),
('NIF1200', 'Proveedor1200'),
('NIF1201', 'Proveedor1201'),
('NIF1202', 'Proveedor1202'),
('NIF1203', 'Proveedor1203'),
('NIF1204', 'Proveedor1204'),
('NIF1205', 'Proveedor1205'),
('NIF1206', 'Proveedor1206'),
('NIF1207', 'Proveedor1207'),
('NIF1208', 'Proveedor1208'),
('NIF1209', 'Proveedor1209'),
('NIF1210', 'Proveedor1210'),
('NIF1211', 'Proveedor1211'),
('NIF1212', 'Proveedor1212'),
('NIF1213', 'Proveedor1213'),
('NIF1214', 'Proveedor1214'),
('NIF1215', 'Proveedor1215'),
('NIF1216', 'Proveedor1216'),
('NIF1217', 'Proveedor1217'),
('NIF1218', 'Proveedor1218'),
('NIF1219', 'Proveedor1219'),
('NIF1220', 'Proveedor1220'),
('NIF1221', 'Proveedor1221'),
('NIF1222', 'Proveedor1222'),
('NIF1223', 'Proveedor1223'),
('NIF1224', 'Proveedor1224'),
('NIF1225', 'Proveedor1225'),
('NIF1226', 'Proveedor1226'),
('NIF1227', 'Proveedor1227'),
('NIF1228', 'Proveedor1228'),
('NIF1229', 'Proveedor1229'),
('NIF1230', 'Proveedor1230'),
('NIF1231', 'Proveedor1231'),
('NIF1232', 'Proveedor1232'),
('NIF1233', 'Proveedor1233'),
('NIF1234', 'Proveedor1234'),
('NIF1235', 'Proveedor1235'),
('NIF1236', 'Proveedor1236'),
('NIF1237', 'Proveedor1237'),
('NIF1238', 'Proveedor1238'),
('NIF1239', 'Proveedor1239'),
('NIF1240', 'Proveedor1240'),
('NIF1241', 'Proveedor1241'),
('NIF1242', 'Proveedor1242'),
('NIF1243', 'Proveedor1243'),
('NIF1244', 'Proveedor1244'),
('NIF1245', 'Proveedor1245'),
('NIF1246', 'Proveedor1246'),
('NIF1247', 'Proveedor1247'),
('NIF1248', 'Proveedor1248'),
('NIF1249', 'Proveedor1249'),
('NIF1250', 'Proveedor1250'),
('NIF1251', 'Proveedor1251'),
('NIF1252', 'Proveedor1252'),
('NIF1253', 'Proveedor1253'),
('NIF1254', 'Proveedor1254'),
('NIF1255', 'Proveedor1255'),
('NIF1256', 'Proveedor1256'),
('NIF1257', 'Proveedor1257'),
('NIF1258', 'Proveedor1258'),
('NIF1259', 'Proveedor1259'),
('NIF1260', 'Proveedor1260'),
('NIF1261', 'Proveedor1261'),
('NIF1262', 'Proveedor1262'),
('NIF1263', 'Proveedor1263'),
('NIF1264', 'Proveedor1264'),
('NIF1265', 'Proveedor1265'),
('NIF1266', 'Proveedor1266'),
('NIF1267', 'Proveedor1267'),
('NIF1268', 'Proveedor1268'),
('NIF1269', 'Proveedor1269'),
('NIF1270', 'Proveedor1270'),
('NIF1271', 'Proveedor1271'),
('NIF1272', 'Proveedor1272'),
('NIF1273', 'Proveedor1273'),
('NIF1274', 'Proveedor1274'),
('NIF1275', 'Proveedor1275'),
('NIF1276', 'Proveedor1276'),
('NIF1277', 'Proveedor1277'),
('NIF1278', 'Proveedor1278'),
('NIF1279', 'Proveedor1279'),
('NIF1280', 'Proveedor1280'),
('NIF1281', 'Proveedor1281'),
('NIF1282', 'Proveedor1282'),
('NIF1283', 'Proveedor1283'),
('NIF1284', 'Proveedor1284'),
('NIF1285', 'Proveedor1285'),
('NIF1286', 'Proveedor1286'),
('NIF1287', 'Proveedor1287'),
('NIF1288', 'Proveedor1288'),
('NIF1289', 'Proveedor1289'),
('NIF1290', 'Proveedor1290'),
('NIF1291', 'Proveedor1291'),
('NIF1292', 'Proveedor1292'),
('NIF1293', 'Proveedor1293'),
('NIF1294', 'Proveedor1294'),
('NIF1295', 'Proveedor1295'),
('NIF1296', 'Proveedor1296'),
('NIF1297', 'Proveedor1297'),
('NIF1298', 'Proveedor1298'),
('NIF1299', 'Proveedor1299'),
('NIF1300', 'Proveedor1300'),
('NIF1301', 'Proveedor1301'),
('NIF1302', 'Proveedor1302'),
('NIF1303', 'Proveedor1303'),
('NIF1304', 'Proveedor1304'),
('NIF1305', 'Proveedor1305'),
('NIF1306', 'Proveedor1306'),
('NIF1307', 'Proveedor1307'),
('NIF1308', 'Proveedor1308'),
('NIF1309', 'Proveedor1309'),
('NIF1310', 'Proveedor1310'),
('NIF1311', 'Proveedor1311'),
('NIF1312', 'Proveedor1312'),
('NIF1313', 'Proveedor1313'),
('NIF1314', 'Proveedor1314'),
('NIF1315', 'Proveedor1315'),
('NIF1316', 'Proveedor1316'),
('NIF1317', 'Proveedor1317'),
('NIF1318', 'Proveedor1318'),
('NIF1319', 'Proveedor1319'),
('NIF1320', 'Proveedor1320'),
('NIF1321', 'Proveedor1321'),
('NIF1322', 'Proveedor1322'),
('NIF1323', 'Proveedor1323'),
('NIF1324', 'Proveedor1324'),
('NIF1325', 'Proveedor1325'),
('NIF1326', 'Proveedor1326'),
('NIF1327', 'Proveedor1327'),
('NIF1328', 'Proveedor1328'),
('NIF1329', 'Proveedor1329'),
('NIF1330', 'Proveedor1330'),
('NIF1331', 'Proveedor1331'),
('NIF1332', 'Proveedor1332'),
('NIF1333', 'Proveedor1333'),
('NIF1334', 'Proveedor1334'),
('NIF1335', 'Proveedor1335'),
('NIF1336', 'Proveedor1336'),
('NIF1337', 'Proveedor1337'),
('NIF1338', 'Proveedor1338'),
('NIF1339', 'Proveedor1339'),
('NIF1340', 'Proveedor1340'),
('NIF1341', 'Proveedor1341'),
('NIF1342', 'Proveedor1342'),
('NIF1343', 'Proveedor1343'),
('NIF1344', 'Proveedor1344'),
('NIF1345', 'Proveedor1345'),
('NIF1346', 'Proveedor1346'),
('NIF1347', 'Proveedor1347'),
('NIF1348', 'Proveedor1348'),
('NIF1349', 'Proveedor1349'),
('NIF1350', 'Proveedor1350'),
('NIF1351', 'Proveedor1351'),
('NIF1352', 'Proveedor1352'),
('NIF1353', 'Proveedor1353'),
('NIF1354', 'Proveedor1354'),
('NIF1355', 'Proveedor1355'),
('NIF1356', 'Proveedor1356'),
('NIF1357', 'Proveedor1357'),
('NIF1358', 'Proveedor1358'),
('NIF1359', 'Proveedor1359'),
('NIF1360', 'Proveedor1360'),
('NIF1361', 'Proveedor1361'),
('NIF1362', 'Proveedor1362'),
('NIF1363', 'Proveedor1363'),
('NIF1364', 'Proveedor1364'),
('NIF1365', 'Proveedor1365'),
('NIF1366', 'Proveedor1366'),
('NIF1367', 'Proveedor1367'),
('NIF1368', 'Proveedor1368'),
('NIF1369', 'Proveedor1369'),
('NIF1370', 'Proveedor1370'),
('NIF1371', 'Proveedor1371'),
('NIF1372', 'Proveedor1372'),
('NIF1373', 'Proveedor1373'),
('NIF1374', 'Proveedor1374'),
('NIF1375', 'Proveedor1375'),
('NIF1376', 'Proveedor1376'),
('NIF1377', 'Proveedor1377'),
('NIF1378', 'Proveedor1378'),
('NIF1379', 'Proveedor1379'),
('NIF1380', 'Proveedor1380'),
('NIF1381', 'Proveedor1381'),
('NIF1382', 'Proveedor1382'),
('NIF1383', 'Proveedor1383'),
('NIF1384', 'Proveedor1384'),
('NIF1385', 'Proveedor1385'),
('NIF1386', 'Proveedor1386'),
('NIF1387', 'Proveedor1387'),
('NIF1388', 'Proveedor1388'),
('NIF1389', 'Proveedor1389'),
('NIF1390', 'Proveedor1390'),
('NIF1391', 'Proveedor1391'),
('NIF1392', 'Proveedor1392'),
('NIF1393', 'Proveedor1393'),
('NIF1394', 'Proveedor1394'),
('NIF1395', 'Proveedor1395'),
('NIF1396', 'Proveedor1396'),
('NIF1397', 'Proveedor1397'),
('NIF1398', 'Proveedor1398'),
('NIF1399', 'Proveedor1399'),
('NIF1400', 'Proveedor1400'),
('NIF1401', 'Proveedor1401'),
('NIF1402', 'Proveedor1402'),
('NIF1403', 'Proveedor1403'),
('NIF1404', 'Proveedor1404'),
('NIF1405', 'Proveedor1405'),
('NIF1406', 'Proveedor1406'),
('NIF1407', 'Proveedor1407'),
('NIF1408', 'Proveedor1408'),
('NIF1409', 'Proveedor1409'),
('NIF1410', 'Proveedor1410'),
('NIF1411', 'Proveedor1411'),
('NIF1412', 'Proveedor1412'),
('NIF1413', 'Proveedor1413'),
('NIF1414', 'Proveedor1414'),
('NIF1415', 'Proveedor1415'),
('NIF1416', 'Proveedor1416'),
('NIF1417', 'Proveedor1417'),
('NIF1418', 'Proveedor1418'),
('NIF1419', 'Proveedor1419'),
('NIF1420', 'Proveedor1420'),
('NIF1421', 'Proveedor1421'),
('NIF1422', 'Proveedor1422'),
('NIF1423', 'Proveedor1423'),
('NIF1424', 'Proveedor1424'),
('NIF1425', 'Proveedor1425'),
('NIF1426', 'Proveedor1426'),
('NIF1427', 'Proveedor1427'),
('NIF1428', 'Proveedor1428'),
('NIF1429', 'Proveedor1429'),
('NIF1430', 'Proveedor1430'),
('NIF1431', 'Proveedor1431'),
('NIF1432', 'Proveedor1432'),
('NIF1433', 'Proveedor1433'),
('NIF1434', 'Proveedor1434'),
('NIF1435', 'Proveedor1435'),
('NIF1436', 'Proveedor1436'),
('NIF1437', 'Proveedor1437'),
('NIF1438', 'Proveedor1438'),
('NIF1439', 'Proveedor1439'),
('NIF1440', 'Proveedor1440'),
('NIF1441', 'Proveedor1441'),
('NIF1442', 'Proveedor1442'),
('NIF1443', 'Proveedor1443'),
('NIF1444', 'Proveedor1444'),
('NIF1445', 'Proveedor1445'),
('NIF1446', 'Proveedor1446'),
('NIF1447', 'Proveedor1447'),
('NIF1448', 'Proveedor1448'),
('NIF1449', 'Proveedor1449'),
('NIF1450', 'Proveedor1450'),
('NIF1451', 'Proveedor1451'),
('NIF1452', 'Proveedor1452'),
('NIF1453', 'Proveedor1453'),
('NIF1454', 'Proveedor1454'),
('NIF1455', 'Proveedor1455'),
('NIF1456', 'Proveedor1456'),
('NIF1457', 'Proveedor1457'),
('NIF1458', 'Proveedor1458'),
('NIF1459', 'Proveedor1459'),
('NIF1460', 'Proveedor1460'),
('NIF1461', 'Proveedor1461'),
('NIF1462', 'Proveedor1462'),
('NIF1463', 'Proveedor1463'),
('NIF1464', 'Proveedor1464'),
('NIF1465', 'Proveedor1465'),
('NIF1466', 'Proveedor1466'),
('NIF1467', 'Proveedor1467'),
('NIF1468', 'Proveedor1468'),
('NIF1469', 'Proveedor1469'),
('NIF1470', 'Proveedor1470'),
('NIF1471', 'Proveedor1471'),
('NIF1472', 'Proveedor1472'),
('NIF1473', 'Proveedor1473'),
('NIF1474', 'Proveedor1474'),
('NIF1475', 'Proveedor1475'),
('NIF1476', 'Proveedor1476'),
('NIF1477', 'Proveedor1477'),
('NIF1478', 'Proveedor1478'),
('NIF1479', 'Proveedor1479'),
('NIF1480', 'Proveedor1480'),
('NIF1481', 'Proveedor1481'),
('NIF1482', 'Proveedor1482'),
('NIF1483', 'Proveedor1483'),
('NIF1484', 'Proveedor1484'),
('NIF1485', 'Proveedor1485'),
('NIF1486', 'Proveedor1486'),
('NIF1487', 'Proveedor1487'),
('NIF1488', 'Proveedor1488'),
('NIF1489', 'Proveedor1489'),
('NIF1490', 'Proveedor1490'),
('NIF1491', 'Proveedor1491'),
('NIF1492', 'Proveedor1492'),
('NIF1493', 'Proveedor1493'),
('NIF1494', 'Proveedor1494'),
('NIF1495', 'Proveedor1495'),
('NIF1496', 'Proveedor1496'),
('NIF1497', 'Proveedor1497'),
('NIF1498', 'Proveedor1498'),
('NIF1499', 'Proveedor1499'),
('NIF1500', 'Proveedor1500');

INSERT INTO ALBARA (CODI, NIF_PRO, DATA, FACTURAT) VALUES
(1, 'NIF1', '2023-1-8', 'N'),
(2, 'NIF2', '2023-3-26', 'S'),
(3, 'NIF3', '2023-5-2', 'N'),
(4, 'NIF4', '2023-12-1', 'S'),
(5, 'NIF5', '2023-8-8', 'N'),
(6, 'NIF6', '2023-1-4', 'N'),
(7, 'NIF7', '2023-1-14', 'S'),
(8, 'NIF8', '2023-8-22', 'S'),
(9, 'NIF9', '2023-9-9', 'N'),
(10, 'NIF10', '2023-11-20', 'S'),
(11, 'NIF11', '2023-12-22', 'N'),
(12, 'NIF12', '2023-10-20', 'S'),
(13, 'NIF13', '2023-8-26', 'N'),
(14, 'NIF14', '2023-9-14', 'S'),
(15, 'NIF15', '2023-8-24', 'N'),
(16, 'NIF16', '2023-3-9', 'N'),
(17, 'NIF17', '2023-10-26', 'S'),
(18, 'NIF18', '2023-5-19', 'N'),
(19, 'NIF19', '2023-11-21', 'N'),
(20, 'NIF20', '2023-10-3', 'S'),
(21, 'NIF21', '2023-6-27', 'N'),
(22, 'NIF22', '2023-11-12', 'N'),
(23, 'NIF23', '2023-8-13', 'N'),
(24, 'NIF24', '2023-9-23', 'N'),
(25, 'NIF25', '2023-9-16', 'S'),
(26, 'NIF26', '2023-4-24', 'S'),
(27, 'NIF27', '2023-4-11', 'N'),
(28, 'NIF28', '2023-4-4', 'N'),
